Tempo di volo, Can 1 e 2, discesa 0 (2.43 gradi - 0.0426 rad) no pesi
Tempo ( s )	Tempo trascorso ( s )
1,0530	9,28000E-4
1,1031	8,83000E-4
1,1532	8,83000E-4
1,2032	8,70000E-4
1,2533	8,75000E-4
1,3034	8,73000E-4
1,3535	8,68000E-4
1,4037	9,04000E-4
1,4537	8,80000E-4
1,5038	8,70000E-4
1,5539	8,60000E-4
1,6040	8,73000E-4
1,6541	8,67000E-4
1,7042	8,82000E-4
1,7543	8,72000E-4
1,8044	8,66000E-4
1,8545	8,74000E-4
1,9046	8,59000E-4
1,9547	8,53000E-4
2,0048	8,68000E-4
2,0549	8,62000E-4
2,1050	8,64000E-4
2,1551	8,60000E-4
2,2052	8,64000E-4
2,2553	8,71000E-4
2,3054	8,82000E-4
2,3556	9,25000E-4
2,4057	9,10000E-4
2,4558	9,14000E-4
2,5059	9,24000E-4
2,5560	9,34000E-4
2,6061	9,45000E-4
2,6562	9,56000E-4
2,7063	9,68000E-4
2,7564	9,56000E-4
2,8065	9,65000E-4
2,8566	9,21000E-4
2,9067	9,11000E-4
2,9568	9,28000E-4
3,0069	9,80000E-4
3,0571	0,00101800
3,1072	0,00104200
3,1573	0,00107900
3,2075	0,00112000
3,2576	0,00115900
3,3078	0,00120100
3,3579	0,00122800
3,4080	0,00127200
3,4582	0,00131700
3,5083	0,00136200
3,5585	0,00141000
3,6086	0,00145600
3,6588	0,00150500
3,7089	0,00155600
3,7591	0,00160400
3,8092	0,00165600
3,8594	0,00170500
3,9095	0,00175800
3,9597	0,00181200
4,0098	0,00186500
4,0600	0,00192100
4,1101	0,00197700
4,1603	0,00203500
4,2105	0,00209500
4,2606	0,00215300
4,3108	0,00221500
4,3609	0,00227500
4,4111	0,00235000
4,4613	0,00241600
4,5114	0,00247800
4,5616	0,00254100
4,6118	0,00260300
4,6619	0,00266800
4,7121	0,00273200
4,7623	0,00280000
4,8124	0,00286800
4,8626	0,00292400
4,9128	0,00299400
4,9629	0,00306200
5,0131	0,00313300
5,0633	0,00320600
5,1134	0,00327600
5,1636	0,00335000
5,2138	0,00342200
5,2640	0,00349700
5,3141	0,00357100
5,3643	0,00364700
5,4145	0,00372500
5,4647	0,00380000
5,5148	0,00387900
5,5650	0,00395600
5,6152	0,00403600
5,6654	0,00411700
5,7156	0,00419500
5,7657	0,00427700
5,8159	0,00435700
5,8661	0,00444000
5,9163	0,00452400
5,9665	0,00460600
6,0167	0,00469100
6,0668	0,00477400
6,1170	0,00486000
6,1672	0,00494700
6,2174	0,00503200
6,2676	0,00512000
6,3178	0,00520600
6,3680	0,00529400
6,4182	0,00538200
6,4683	0,00547200
6,5185	0,00556300
6,5687	0,00565200
6,6189	0,00574400
6,6691	0,00583400
6,7193	0,00592800
6,7695	0,00602100
6,8197	0,00611300
6,8699	0,00620800
6,9201	0,00630100
6,9703	0,00639700
7,0205	0,00649100
7,0707	0,00658800
7,1209	0,00668600
7,1711	0,00678200
7,2212	0,00688100
7,2714	0,00697700
7,3216	0,00707800
7,3718	0,00717900
7,4220	0,00727800
7,4722	0,00737900
7,5224	0,00748000
7,5727	0,00758300
7,6229	0,00768500
7,6731	0,00778900
7,7233	0,00789500
7,7735	0,00799700
7,8237	0,00810300
7,8739	0,00820900
7,9241	0,00831600
7,9743	0,00842500
8,0245	0,00853200
8,0747	0,00864200
8,1249	0,00875100
8,1751	0,00887300
8,2254	0,00898500
8,2756	0,00909600
8,3258	0,00920900
8,3760	0,00932100
8,4262	0,00943600
8,4764	0,00955200
8,5266	0,00966600
8,5769	0,00978400
8,6271	0,00989900
8,6773	0,0100180
8,7275	0,0101350
8,7777	0,0102560
8,8279	0,0103770
8,8782	0,0104970
8,9284	0,0106200
8,9786	0,0107410
9,0288	0,0108660
9,0791	0,0109900
9,1293	0,0111140
9,1795	0,0112410
9,2297	0,0113670
9,2800	0,0114950
9,3302	0,0116230
9,3804	0,0117530
9,4307	0,0118850
9,4808	0,0119730
