Tempo di volo. Can 1 e 2. calibrazione 100
Tempo ( s )	Tempo trascorso ( s )
0.0559	0.00585200
0.1060	0.00585000
0.1561	0.00585100
0.2062	0.00585200
0.2563	0.00585100
0.3064	0.00585200
0.3565	0.00585000
0.4066	0.00585100
0.4567	0.00585000
0.5068	0.00585100
0.5569	0.00585200
0.6070	0.00585100
0.6571	0.00585200
0.7072	0.00585000
0.7573	0.00585100
0.8074	0.00585200
0.8575	0.00585100
0.9076	0.00585200
0.9577	0.00585000
1.0078	0.00585100
1.0579	0.00585000
1.1080	0.00585100
1.1581	0.00585200
1.2082	0.00585000
1.2583	0.00585200
1.3084	0.00585000
1.3585	0.00585100
1.4086	0.00585000
1.4587	0.00585100
1.5088	0.00585200
1.5589	0.00585100
1.6090	0.00585100
1.6591	0.00585000
1.7092	0.00585100
1.7593	0.00585000
1.8094	0.00585100
1.8595	0.00585200
1.9096	0.00585000
1.9597	0.00585100
2.0098	0.00585000
2.0599	0.00585100
2.1100	0.00585000
2.1601	0.00585100
2.2102	0.00585200
2.2603	0.00585000
2.3104	0.00585100
2.3605	0.00585000
2.4106	0.00585100
2.4607	0.00585000
2.5108	0.00585100
2.5609	0.00585200
2.6110	0.00585000
2.6611	0.00585100
2.7112	0.00585000
2.7613	0.00585100
2.8114	0.00585200
2.8615	0.00585100
2.9116	0.00585200
2.9617	0.00585000
3.0118	0.00585100
3.0619	0.00585000
3.1120	0.00585100
3.1621	0.00585200
3.2122	0.00585000
3.2623	0.00585200
3.3124	0.00585000
3.3625	0.00585100
3.4125	0.00578100
3.4627	0.00585100
3.5128	0.00585200
3.5629	0.00585100
3.6130	0.00585100
3.6631	0.00585000
3.7132	0.00585100
3.7633	0.00585000
3.8134	0.00585100
3.8635	0.00585200
3.9136	0.00585000
3.9637	0.00585100
4.0138	0.00585000
4.0639	0.00585100
4.1140	0.00584900
4.1641	0.00585100
4.2142	0.00585100
4.2643	0.00585000
4.3144	0.00585100
4.3645	0.00585000
4.4146	0.00585100
4.4647	0.00584900
4.5148	0.00585000
4.5649	0.00585100
4.6150	0.00585000
4.6651	0.00585100
4.7152	0.00584900
4.7653	0.00585100
4.8154	0.00585200
4.8655	0.00585000
4.9156	0.00585100
4.9657	0.00585000
5.0158	0.00585100
5.0659	0.00585000
5.1160	0.00585000
5.1661	0.00584900
5.2162	0.00585000
5.2663	0.00585100
5.3164	0.00585000
5.3665	0.00585100
5.4166	0.00584900
5.4667	0.00585100
5.5168	0.00585100
5.5669	0.00585000
5.6170	0.00585100
5.6671	0.00585000
5.7172	0.00585100
5.7673	0.00585000
5.8174	0.00585000
5.8675	0.00585200
5.9176	0.00585000
5.9677	0.00585100
6.0178	0.00585000
6.0679	0.00585100
6.1180	0.00585000
6.1681	0.00585100
6.2182	0.00585200
6.2683	0.00585000
6.3184	0.00585100
6.3685	0.00585000
6.4186	0.00585100
6.4687	0.00585000
6.5188	0.00585100
6.5689	0.00585200
6.6190	0.00585000
6.6691	0.00585100
6.7192	0.00585000
6.7693	0.00585100
6.8194	0.00584900
6.8695	0.00585100
6.9196	0.00585200
6.9697	0.00585000
7.0198	0.00585100
7.0699	0.00585000
7.1200	0.00585100
7.1701	0.00585000
7.2202	0.00585000
7.2703	0.00585200
7.3204	0.00585000
7.3705	0.00585100
7.4206	0.00585000
7.4707	0.00585100
7.5208	0.00584900
7.5709	0.00585000
7.6210	0.00585100
7.6711	0.00585000
7.7212	0.00585100
7.7713	0.00585000
7.8214	0.00585100
7.8715	0.00585000
7.9216	0.00585100
7.9717	0.00585200
8.0218	0.00585000
8.0719	0.00585100
8.1220	0.00585000
8.1721	0.00585100
8.2222	0.00585200
8.2723	0.00585100
8.3224	0.00585200
8.3725	0.00585100
8.4226	0.00585200
8.4727	0.00585100
8.5228	0.00585200
8.5729	0.00585000
8.6230	0.00585100
8.6731	0.00585200
8.7232	0.00585100
8.7733	0.00585200
8.8234	0.00585100
8.8735	0.00585200
8.9236	0.00585300
8.9737	0.00585200
9.0238	0.00585300
9.0739	0.00585100
9.1240	0.00585200
9.1741	0.00585100
9.2242	0.00585200
9.2743	0.00585100
9.3244	0.00585200
9.3745	0.00585300
9.4246	0.00585100
9.4747	0.00585300
9.5248	0.00585100
9.5749	0.00585200
9.6250	0.00585300
9.6751	0.00585200
9.7252	0.00585300
9.7753	0.00585100
9.8254	0.00585200
9.8755	0.00585100
9.9256	0.00585200
9.9757	0.00585100
10.0258	0.00585100
10.0759	0.00585300
10.1260	0.00585100
10.1761	0.00585200
10.2262	0.00585100
10.2763	0.00585200
