Tempo di volo. Can 1 e 2. discesa 3 (2.43 gradi - 0.0426 rad) 2 pesi
Tempo ( s )	Tempo trascorso ( s )
0.0509	8.58000E-4
0.1011	9.19000E-4
0.1511	8.72000E-4
0.2013	8.87000E-4
0.2514	8.88000E-4
0.3014	8.75000E-4
0.3515	8.75000E-4
0.4017	9.42000E-4
0.4518	9.15000E-4
0.5018	8.72000E-4
0.5519	8.78000E-4
0.6020	8.61000E-4
0.6521	8.67000E-4
0.7022	8.70000E-4
0.7523	8.64000E-4
0.8025	8.97000E-4
0.8526	9.33000E-4
0.9027	9.65000E-4
0.9528	9.06000E-4
1.0030	0.00102300
1.0532	0.00113300
1.1034	0.00127200
1.1537	0.00141700
1.2039	0.00157300
1.2542	0.00173400
1.3045	0.00190700
1.3548	0.00209000
1.4051	0.00228200
1.4554	0.00249500
1.5057	0.00270400
1.5560	0.00292100
1.6063	0.00313700
1.6566	0.00337000
1.7070	0.00361500
1.7573	0.00386700
1.8077	0.00413000
1.8581	0.00439900
1.9084	0.00467900
1.9588	0.00496800
2.0092	0.00526300
2.0596	0.00556900
2.1100	0.00588200
2.1605	0.00620600
2.2109	0.00653800
2.2613	0.00687400
2.3118	0.00722700
2.3623	0.00758500
2.4127	0.00795400
2.4632	0.00833200
2.5137	0.00871600
2.5642	0.00911200
2.6147	0.00951500
2.6652	0.00994100
2.7157	0.0103640
2.7663	0.0107990
2.8168	0.0112450
2.8674	0.0116980
2.9179	0.0121280
2.9690	0.0131490
