Tempo di volo. Can 1 e 2. calibrazione 90
Tempo ( s )	Tempo trascorso ( s )
0.0553	0.00527300
0.1054	0.00527100
0.1555	0.00527200
0.2056	0.00527300
0.2557	0.00527200
0.3058	0.00527300
0.3559	0.00527200
0.4060	0.00527300
0.4561	0.00527100
0.5062	0.00527200
0.5563	0.00527400
0.6064	0.00527200
0.6565	0.00527300
0.7066	0.00527200
0.7567	0.00527300
0.8068	0.00527400
0.8569	0.00527300
0.9070	0.00527400
0.9571	0.00527200
1.0072	0.00527300
1.0573	0.00527200
1.1074	0.00527300
1.1575	0.00527400
1.2076	0.00527300
1.2577	0.00527400
1.3078	0.00527200
1.3579	0.00527400
1.4080	0.00527200
1.4581	0.00527300
1.5082	0.00527400
1.5583	0.00527300
1.6084	0.00527400
1.6585	0.00527300
1.7086	0.00527400
1.7587	0.00527200
1.8088	0.00527300
1.8589	0.00527400
1.9090	0.00527300
1.9591	0.00527400
2.0092	0.00527300
2.0593	0.00527400
2.1094	0.00527500
2.1595	0.00527300
2.2096	0.00527400
2.2597	0.00527300
2.3098	0.00527400
2.3599	0.00527300
2.4100	0.00527400
2.4601	0.00527200
2.5102	0.00527300
2.5603	0.00527400
2.6104	0.00527300
2.6605	0.00527400
2.7106	0.00527200
2.7607	0.00527300
2.8108	0.00527400
2.8609	0.00527300
2.9110	0.00527400
2.9611	0.00527300
3.0112	0.00527400
3.0613	0.00527200
3.1114	0.00527300
3.1615	0.00527400
3.2116	0.00527300
3.2617	0.00527400
3.3118	0.00527200
3.3619	0.00527300
3.4120	0.00527200
3.4621	0.00527300
3.5122	0.00527400
3.5623	0.00527300
3.6124	0.00527400
3.6625	0.00527200
3.7126	0.00527300
3.7627	0.00527200
3.8128	0.00527300
3.8629	0.00527400
3.9130	0.00527300
3.9631	0.00527400
4.0132	0.00527300
4.0633	0.00527400
4.1134	0.00527500
4.1635	0.00527400
4.2136	0.00527500
4.2637	0.00527400
4.3138	0.00527500
4.3639	0.00527300
4.4140	0.00527400
4.4641	0.00527300
4.5142	0.00527400
4.5643	0.00527600
4.6144	0.00527400
4.6645	0.00527500
4.7146	0.00527400
4.7647	0.00527500
4.8148	0.00527600
4.8649	0.00527500
4.9150	0.00527600
4.9651	0.00527400
5.0152	0.00527500
5.0653	0.00527400
5.1154	0.00527500
5.1655	0.00527600
5.2156	0.00527500
5.2657	0.00527600
5.3158	0.00527400
5.3659	0.00527600
5.4160	0.00527400
5.4661	0.00527500
5.5162	0.00527600
5.5663	0.00527500
5.6164	0.00527600
5.6665	0.00527500
5.7166	0.00527600
5.7667	0.00527500
5.8168	0.00527600
5.8669	0.00527700
5.9170	0.00527500
5.9671	0.00527600
6.0172	0.00527500
6.0673	0.00527600
6.1174	0.00527400
6.1675	0.00527600
6.2176	0.00527600
6.2677	0.00527500
6.3178	0.00527600
6.3679	0.00527500
6.4180	0.00527600
6.4681	0.00527500
6.5182	0.00527600
6.5683	0.00527700
6.6184	0.00527500
6.6685	0.00527600
6.7186	0.00527500
6.7687	0.00527600
6.8188	0.00527400
6.8689	0.00527500
6.9190	0.00527600
6.9691	0.00527500
7.0192	0.00527600
7.0693	0.00527500
7.1194	0.00527600
7.1695	0.00527400
7.2196	0.00527500
7.2697	0.00527600
7.3198	0.00527500
7.3699	0.00527600
7.4200	0.00527400
7.4701	0.00527500
7.5202	0.00527600
7.5703	0.00527500
7.6204	0.00527600
7.6705	0.00527500
7.7206	0.00527600
7.7707	0.00527400
7.8208	0.00527500
7.8709	0.00527400
7.9210	0.00527500
7.9711	0.00527600
8.0212	0.00527500
8.0713	0.00527600
8.1214	0.00527400
8.1715	0.00527600
8.2216	0.00527700
8.2717	0.00527500
8.3218	0.00527600
8.3719	0.00527500
8.4220	0.00527600
8.4721	0.00527500
8.5222	0.00527600
8.5723	0.00527400
8.6224	0.00527500
8.6725	0.00527600
8.7226	0.00527500
8.7727	0.00527600
8.8228	0.00527400
8.8729	0.00527600
8.9230	0.00527700
8.9731	0.00527500
9.0232	0.00527600
9.0733	0.00527500
9.1234	0.00527600
9.1735	0.00527400
9.2236	0.00527500
9.2737	0.00527700
9.3238	0.00527500
9.3739	0.00527600
9.4240	0.00527500
9.4741	0.00527600
9.5242	0.00527400
9.5743	0.00527500
9.6244	0.00527600
9.6745	0.00527500
9.7246	0.00527600
9.7747	0.00527500
9.8248	0.00527600
9.8749	0.00527400
9.9250	0.00527500
9.9751	0.00527600
10.0252	0.00527500
10.0753	0.00527600
10.1254	0.00527400
10.1755	0.00527500
10.2256	0.00527400
10.2757	0.00527500
10.3258	0.00527600
