Tempo di volo, Can 1 e 2, discesa 0 (2.43 gradi - 0.0426 rad) velocità iniziale
Tempo ( s )	Tempo trascorso ( s )
0,0510	9,01000E-4
0,1010	8,55000E-4
0,1511	8,40000E-4
0,2012	8,59000E-4
0,2513	8,81000E-4
0,3015	9,07000E-4
0,3516	9,40000E-4
0,4017	9,57000E-4
0,4518	9,16000E-4
0,5020	9,85000E-4
0,5521	0,00106400
0,6023	0,00115300
0,6525	0,00123400
0,7027	0,00133000
0,7529	0,00142900
0,8031	0,00152800
0,8533	0,00162500
0,9035	0,00172500
0,9537	0,00182200
1,0039	0,00192500
1,0541	0,00202900
1,1043	0,00213200
1,1545	0,00224000
1,2047	0,00236200
1,2549	0,00246400
1,3051	0,00256800
1,3553	0,00267400
1,4055	0,00277100
1,4557	0,00287800
1,5060	0,00298800
1,5562	0,00309600
1,6064	0,00320800
1,6566	0,00332000
1,7068	0,00343000
1,7570	0,00354400
1,8072	0,00365600
1,8574	0,00377100
1,9077	0,00388700
1,9579	0,00400000
2,0081	0,00411700
2,0583	0,00423200
2,1085	0,00435000
2,1587	0,00446600
2,2090	0,00458500
2,2592	0,00470500
2,3094	0,00482300
2,3596	0,00494400
2,4098	0,00506300
2,4601	0,00518500
2,5103	0,00530800
2,5605	0,00542900
2,6107	0,00555300
2,6609	0,00567500
2,7112	0,00580000
2,7614	0,00592600
2,8116	0,00604900
2,8618	0,00617600
2,9121	0,00630100
2,9623	0,00642800
3,0125	0,00655500
3,0628	0,00668400
3,1130	0,00681300
3,1632	0,00694100
3,2134	0,00707200
3,2637	0,00720000
3,3139	0,00733200
3,3641	0,00746400
3,4144	0,00759500
3,4646	0,00772900
3,5148	0,00786100
3,5651	0,00799500
3,6153	0,00812900
3,6655	0,00826500
3,7158	0,00840200
3,7660	0,00853700
3,8162	0,00867600
3,8665	0,00881200
3,9167	0,00895300
3,9670	0,00910300
4,0172	0,00924200
4,0675	0,00938400
4,1177	0,00952400
4,1679	0,00966700
4,2182	0,00980900
4,2684	0,00995300
4,3187	0,0100990
4,3689	0,0102430
4,4192	0,0103900
4,4694	0,0105350
4,5197	0,0106840
4,5699	0,0108330
4,6201	0,0109800
4,6704	0,0111310
4,7206	0,0112800
4,7709	0,0114320
4,8212	0,0115830
4,8714	0,0117360
4,9217	0,0118910
4,9719	0,0120440
5,0221	0,0121420
5,0722	0,0121390
5,1223	0,0121360
