Tempo di volo. Can 1 e 2. discesa 2 (2.43 gradi - 0.0426 rad) 2 pesi
Tempo ( s )	Tempo trascorso ( s )
0.0509	8.80000E-4
0.1011	8.94000E-4
0.1512	8.97000E-4
0.2013	8.92000E-4
0.2514	8.95000E-4
0.3015	9.14000E-4
0.3516	8.99000E-4
0.4016	8.54000E-4
0.4517	8.66000E-4
0.5018	8.68000E-4
0.5519	8.81000E-4
0.6021	8.98000E-4
0.6522	9.08000E-4
0.7023	8.99000E-4
0.7523	8.78000E-4
0.8024	8.71000E-4
0.8525	8.72000E-4
0.9026	8.60000E-4
0.9527	8.45000E-4
1.0028	8.61000E-4
1.0529	8.76000E-4
1.1031	8.89000E-4
1.1532	9.12000E-4
1.2033	9.37000E-4
1.2534	9.71000E-4
1.3035	9.10000E-4
1.3537	9.84000E-4
1.4038	0.00106700
1.4540	0.00116500
1.5042	0.00126600
1.5545	0.00138400
1.6047	0.00150900
1.6549	0.00164000
1.7051	0.00177400
1.7554	0.00191600
1.8056	0.00206200
1.8559	0.00221800
1.9061	0.00237700
1.9564	0.00255600
2.0067	0.00273000
2.0570	0.00290500
2.1073	0.00308900
2.1575	0.00327700
2.2078	0.00346200
2.2581	0.00366500
2.3084	0.00387100
2.3588	0.00408500
2.4091	0.00430300
2.4594	0.00452800
2.5097	0.00475700
2.5601	0.00499400
2.6104	0.00523500
2.6607	0.00548100
2.7111	0.00573400
2.7615	0.00599100
2.8118	0.00625600
2.8622	0.00652700
2.9125	0.00675600
2.9629	0.00700100
3.0133	0.00730100
3.0637	0.00759900
3.1141	0.00791600
3.1645	0.00823600
3.2149	0.00855300
3.2654	0.00888500
3.3158	0.00921200
3.3662	0.00954200
3.4167	0.00988600
3.4671	0.0102270
3.5175	0.0105720
3.5680	0.0109260
3.6185	0.0112840
3.6689	0.0116500
3.7193	0.0118880
