Tempo di volo. Can 1 e 2. calibrazione 110
Tempo ( s )	Tempo trascorso ( s )
0.0565	0.00642400
0.1066	0.00642200
0.1567	0.00642300
0.2068	0.00642400
0.2569	0.00642300
0.3070	0.00642400
0.3571	0.00642200
0.4072	0.00642300
0.4573	0.00642200
0.5074	0.00642300
0.5575	0.00642400
0.6076	0.00642300
0.6577	0.00642400
0.7078	0.00642200
0.7579	0.00642300
0.8080	0.00642200
0.8581	0.00642300
0.9082	0.00642400
0.9583	0.00642300
1.0084	0.00642400
1.0585	0.00642300
1.1086	0.00642400
1.1587	0.00642500
1.2088	0.00642300
1.2589	0.00642400
1.3090	0.00642300
1.3591	0.00642400
1.4092	0.00642300
1.4593	0.00642400
1.5094	0.00642500
1.5595	0.00642300
1.6096	0.00642400
1.6597	0.00642300
1.7098	0.00642400
1.7599	0.00642300
1.8100	0.00642400
1.8601	0.00642500
1.9102	0.00642300
1.9603	0.00642400
2.0104	0.00642300
2.0605	0.00642400
2.1106	0.00642300
2.1607	0.00642400
2.2108	0.00642500
2.2609	0.00642400
2.3110	0.00642500
2.3611	0.00642300
2.4112	0.00642500
2.4613	0.00642300
2.5114	0.00642400
2.5615	0.00642500
2.6116	0.00642400
2.6617	0.00642500
2.7118	0.00642400
2.7619	0.00642500
2.8120	0.00642300
2.8621	0.00642400
2.9122	0.00642500
2.9623	0.00642400
3.0124	0.00642500
3.0625	0.00642400
3.1126	0.00642500
3.1627	0.00642600
3.2128	0.00642400
3.2629	0.00642500
3.3130	0.00642400
3.3631	0.00642500
3.4132	0.00642400
3.4633	0.00642500
3.5134	0.00642600
3.5635	0.00642400
3.6136	0.00642500
3.6637	0.00642400
3.7138	0.00642500
3.7639	0.00642400
3.8140	0.00642500
3.8641	0.00642600
3.9142	0.00642400
3.9643	0.00642500
4.0144	0.00642400
4.0645	0.00642500
4.1146	0.00642400
4.1647	0.00642500
4.2148	0.00642600
4.2649	0.00642400
4.3150	0.00642600
4.3651	0.00642400
4.4152	0.00642500
4.4653	0.00642400
4.5154	0.00642500
4.5655	0.00642600
4.6156	0.00642500
4.6657	0.00642600
4.7158	0.00642400
4.7659	0.00642500
4.8160	0.00642400
4.8661	0.00642500
4.9162	0.00642600
4.9663	0.00642500
5.0164	0.00642600
5.0665	0.00642400
5.1166	0.00642500
5.1667	0.00642600
5.2168	0.00642500
5.2669	0.00642600
5.3170	0.00642500
5.3671	0.00642600
5.4172	0.00642400
5.4673	0.00642500
5.5174	0.00642400
5.5675	0.00642500
5.6176	0.00642600
5.6677	0.00642500
5.7178	0.00642600
5.7679	0.00642500
5.8180	0.00642600
5.8681	0.00642700
5.9182	0.00642500
5.9683	0.00642600
6.0184	0.00642500
6.0685	0.00642600
6.1186	0.00642500
6.1687	0.00642600
6.2188	0.00642700
6.2689	0.00642600
6.3190	0.00642700
6.3691	0.00642500
6.4192	0.00642700
6.4693	0.00642500
6.5194	0.00642600
6.5695	0.00642700
6.6196	0.00642600
6.6697	0.00642700
6.7198	0.00642600
6.7699	0.00642700
6.8200	0.00642500
6.8701	0.00642600
6.9202	0.00642700
6.9703	0.00642600
7.0204	0.00642700
7.0705	0.00642600
7.1206	0.00642700
7.1707	0.00642500
7.2208	0.00642600
7.2709	0.00642700
7.3210	0.00642600
7.3711	0.00642700
7.4212	0.00642500
7.4713	0.00642600
7.5214	0.00642500
7.5715	0.00642600
7.6216	0.00642700
7.6717	0.00642500
7.7218	0.00642700
7.7719	0.00642500
7.8220	0.00642600
7.8721	0.00642500
7.9222	0.00642600
7.9723	0.00642700
8.0224	0.00642500
8.0725	0.00642600
8.1226	0.00642500
8.1727	0.00642600
8.2228	0.00642500
8.2729	0.00642600
8.3230	0.00642700
8.3731	0.00642600
8.4232	0.00642700
8.4733	0.00642500
8.5234	0.00642600
8.5735	0.00642700
8.6236	0.00642600
8.6737	0.00642700
8.7238	0.00642600
8.7739	0.00642700
8.8240	0.00642500
8.8741	0.00642600
8.9242	0.00642500
8.9743	0.00642600
9.0244	0.00642700
9.0745	0.00642600
9.1246	0.00642700
9.1747	0.00642500
9.2248	0.00642600
9.2749	0.00642700
9.3250	0.00642600
9.3751	0.00642700
9.4252	0.00642600
9.4753	0.00642700
9.5254	0.00642500
9.5755	0.00642600
9.6256	0.00642500
9.6757	0.00642600
9.7258	0.00642700
9.7759	0.00642600
9.8260	0.00642700
9.8761	0.00642500
9.9262	0.00642600
9.9763	0.00642700
10.0264	0.00642600
10.0765	0.00642700
10.1266	0.00642600
10.1767	0.00642700
10.2268	0.00642500
10.2769	0.00642600
10.3270	0.00642500
10.3771	0.00642600
10.4272	0.00642700
10.4773	0.00642500
10.5274	0.00642600
10.5775	0.00642500
10.6276	0.00642600
10.6777	0.00642700
10.7278	0.00642600
10.7779	0.00642600
10.8280	0.00642500
10.8781	0.00642600
10.9282	0.00642500
10.9783	0.00642600
11.0284	0.00642400
11.0785	0.00642500
11.1286	0.00642600
11.1787	0.00642500
11.2288	0.00642600
11.2789	0.00642500
11.3290	0.00642600
11.3791	0.00642700
11.4292	0.00642500
