Tempo di volo, Can 1 e 2, discesa 1 (1.219 gradi - 0.0212 rad) velocità iniziale
Tempo ( s )	Tempo trascorso ( s )
0,0510	9,13000E-4
0,1011	8,92000E-4
0,1512	9,03000E-4
0,2012	8,62000E-4
0,2513	8,69000E-4
0,3014	8,72000E-4
0,3515	8,75000E-4
0,4017	9,25000E-4
0,4518	8,89000E-4
0,5019	9,16000E-4
0,5520	9,30000E-4
0,6021	9,19000E-4
0,6524	0,00111800
0,7027	0,00128200
0,7529	0,00144000
0,8032	0,00160700
0,8534	0,00177200
0,9037	0,00194100
0,9540	0,00211600
1,0043	0,00229100
1,0545	0,00247000
1,1048	0,00266800
1,1551	0,00285200
1,2054	0,00303800
1,2557	0,00322600
1,3060	0,00340700
1,3563	0,00360000
1,4066	0,00379800
1,4569	0,00399900
1,5072	0,00420000
1,5575	0,00440600
1,6078	0,00461200
1,6581	0,00482400
1,7084	0,00503800
1,7587	0,00525000
1,8090	0,00546900
1,8594	0,00568800
1,9097	0,00591200
1,9600	0,00613700
2,0103	0,00636600
2,0607	0,00659700
2,1110	0,00682900
2,1613	0,00706500
2,2117	0,00730200
2,2620	0,00754400
2,3124	0,00778900
2,3627	0,00803300
2,4129	0,00817500
2,4631	0,00819000
2,5131	0,00815000
2,5632	0,00814700
2,6133	0,00814800
2,6634	0,00814900
2,7135	0,00816900
2,7637	0,00819100
2,8138	0,00821200
2,8662	0,0105640
2,9166	0,0108800
