Tempo di volo. Can 1 e 2. CALIBRAZIONE 130 NUOVO
Tempo ( s )	Tempo trascorso ( s )
0.0577	0.00759300
0.1078	0.00759300
0.1579	0.00759200
0.2080	0.00759300
0.2581	0.00759200
0.3082	0.00759200
0.3583	0.00759400
0.4084	0.00759200
0.4585	0.00759300
0.5086	0.00759400
0.5587	0.00759200
0.6088	0.00759300
0.6589	0.00759200
0.7090	0.00759300
0.7591	0.00759400
0.8092	0.00759200
0.8593	0.00759300
0.9094	0.00759200
0.9595	0.00759300
1.0096	0.00759300
1.0597	0.00759200
1.1098	0.00759300
1.1599	0.00759200
1.2100	0.00759300
1.2601	0.00759400
1.3102	0.00759200
1.3603	0.00759400
1.4104	0.00759200
1.4605	0.00759300
1.5106	0.00759400
1.5607	0.00759300
1.6108	0.00759400
1.6609	0.00759200
1.7110	0.00759300
1.7611	0.00759200
1.8112	0.00759300
1.8613	0.00759400
1.9114	0.00759200
1.9615	0.00759300
2.0116	0.00759400
2.0617	0.00759300
2.1118	0.00759400
2.1619	0.00759300
2.2120	0.00759400
2.2621	0.00759200
2.3122	0.00759300
2.3623	0.00759400
2.4124	0.00759300
2.4625	0.00759400
2.5126	0.00759500
2.5627	0.00759400
2.6128	0.00759400
2.6629	0.00759300
2.7130	0.00759400
2.7631	0.00759300
2.8132	0.00759300
2.8633	0.00759400
2.9134	0.00759200
2.9635	0.00759300
3.0136	0.00759300
3.0637	0.00759200
3.1138	0.00759100
3.1639	0.00759000
3.2140	0.00759200
3.2641	0.00759100
3.3142	0.00759200
3.3643	0.00759300
3.4144	0.00759300
3.4645	0.00759400
3.5146	0.00759200
3.5647	0.00759300
3.6148	0.00759400
3.6649	0.00759300
3.7150	0.00759400
3.7651	0.00759200
3.8152	0.00759200
3.8653	0.00759300
3.9154	0.00759300
3.9655	0.00759400
4.0156	0.00759200
4.0657	0.00759300
4.1158	0.00759400
4.1659	0.00759300
4.2160	0.00759400
4.2661	0.00759300
4.3162	0.00759400
4.3663	0.00759500
4.4164	0.00759300
4.4665	0.00759400
4.5166	0.00759300
4.5667	0.00759400
4.6168	0.00759500
4.6669	0.00759400
4.7170	0.00759400
4.7671	0.00759300
4.8172	0.00759400
4.8673	0.00759500
4.9174	0.00759300
4.9675	0.00759400
5.0176	0.00759300
5.0677	0.00759400
5.1178	0.00759500
5.1679	0.00759300
5.2180	0.00759400
5.2681	0.00759300
5.3182	0.00759400
5.3683	0.00759500
5.4184	0.00759300
5.4685	0.00759400
5.5186	0.00759300
5.5687	0.00759400
5.6188	0.00759500
5.6689	0.00759300
5.7190	0.00759400
5.7691	0.00759300
5.8192	0.00759400
5.8693	0.00759500
5.9194	0.00759300
5.9695	0.00759400
6.0196	0.00759200
6.0697	0.00759300
6.1198	0.00759400
6.1699	0.00759300
6.2200	0.00759400
6.2701	0.00759200
6.3202	0.00759300
6.3703	0.00759200
6.4204	0.00759300
6.4705	0.00759400
6.5206	0.00759300
6.5707	0.00759400
6.6208	0.00759500
6.6709	0.00759400
6.7210	0.00759500
6.7711	0.00759300
6.8212	0.00759400
6.8713	0.00759300
6.9214	0.00759400
6.9715	0.00759500
7.0216	0.00759300
7.0717	0.00759400
7.1218	0.00759300
7.1719	0.00759400
7.2220	0.00759500
7.2721	0.00759300
7.3222	0.00759400
7.3723	0.00759300
7.4224	0.00759300
7.4725	0.00759400
7.5226	0.00759300
7.5727	0.00759400
7.6228	0.00759300
7.6729	0.00759400
7.7230	0.00759500
7.7731	0.00759400
7.8232	0.00759500
7.8733	0.00759300
7.9234	0.00759400
7.9735	0.00759500
8.0236	0.00759400
8.0737	0.00759500
8.1238	0.00759300
8.1739	0.00759500
8.2240	0.00759500
8.2741	0.00759400
8.3242	0.00759500
8.3743	0.00759400
8.4244	0.00759500
8.4745	0.00759600
8.5246	0.00759400
8.5747	0.00759500
8.6248	0.00759400
8.6749	0.00759500
8.7250	0.00759600
8.7751	0.00760500
8.8252	0.00760600
8.8753	0.00760400
8.9254	0.00759400
8.9755	0.00759000
9.0256	0.00758900
9.0757	0.00759100
9.1258	0.00758800
9.1759	0.00759100
9.2260	0.00759400
9.2761	0.00758900
9.3261	0.00757200
9.3762	0.00757100
9.4264	0.00758800
9.4765	0.00758900
9.5266	0.00758900
9.5767	0.00758700
9.6267	0.00757300
9.6768	0.00757300
9.7269	0.00757100
9.7770	0.00757300
9.8271	0.00757400
9.8772	0.00757000
9.9273	0.00756800
9.9774	0.00755200
10.0275	0.00755000
10.0776	0.00755100
10.1277	0.00754900
10.1778	0.00754800
10.2279	0.00754600
10.2780	0.00754800
10.3281	0.00754700
10.3782	0.00755000
