Tempo di volo. Can 1 e 2. CALIBRAZIONE 110 NUOVO
Tempo ( s )	Tempo trascorso ( s )
0.0565	0.00644200
0.1066	0.00644300
0.1567	0.00644400
0.2068	0.00644200
0.2569	0.00644300
0.3070	0.00644200
0.3571	0.00644300
0.4072	0.00644400
0.4573	0.00644200
0.5074	0.00644300
0.5575	0.00644200
0.6076	0.00644300
0.6577	0.00644400
0.7078	0.00644300
0.7579	0.00644400
0.8080	0.00644200
0.8581	0.00644400
0.9082	0.00644400
0.9583	0.00644300
1.0084	0.00644400
1.0585	0.00644300
1.1086	0.00644300
1.1587	0.00644400
1.2088	0.00644300
1.2589	0.00644400
1.3090	0.00644200
1.3591	0.00644300
1.4092	0.00644400
1.4593	0.00644300
1.5094	0.00644400
1.5595	0.00644200
1.6096	0.00644300
1.6597	0.00644400
1.7098	0.00644300
1.7599	0.00644400
1.8100	0.00644200
1.8601	0.00644300
1.9102	0.00644400
1.9603	0.00644300
2.0104	0.00644400
2.0605	0.00644200
2.1106	0.00644300
2.1607	0.00644500
2.2108	0.00644300
2.2609	0.00644400
2.3110	0.00644300
2.3611	0.00644400
2.4112	0.00644500
2.4613	0.00644400
2.5114	0.00644500
2.5615	0.00644400
2.6116	0.00644500
2.6617	0.00644600
2.7118	0.00644400
2.7619	0.00644500
2.8120	0.00644400
2.8621	0.00644500
2.9122	0.00644600
2.9623	0.00644500
3.0124	0.00644500
3.0625	0.00644400
3.1126	0.00644500
3.1627	0.00644600
3.2128	0.00644400
3.2629	0.00644600
3.3130	0.00644400
3.3631	0.00644500
3.4132	0.00644600
3.4633	0.00644400
3.5134	0.00644500
3.5635	0.00644300
3.6136	0.00644400
3.6637	0.00644500
3.7138	0.00644300
3.7639	0.00644400
3.8140	0.00644300
3.8641	0.00644400
3.9142	0.00644500
3.9643	0.00644300
4.0144	0.00644400
4.0645	0.00644300
4.1146	0.00644300
4.1647	0.00644500
4.2148	0.00644300
4.2649	0.00644400
4.3150	0.00644200
4.3651	0.00644300
4.4152	0.00644400
4.4653	0.00644300
4.5154	0.00644400
4.5655	0.00644200
4.6156	0.00644300
4.6657	0.00644200
4.7158	0.00644200
4.7659	0.00644300
4.8160	0.00644200
4.8661	0.00644300
4.9162	0.00644300
4.9663	0.00644200
5.0164	0.00644300
5.0665	0.00644100
5.1166	0.00644200
5.1667	0.00644100
5.2168	0.00644100
5.2669	0.00644300
5.3170	0.00644100
5.3671	0.00644200
5.4172	0.00644300
5.4673	0.00644100
5.5174	0.00644200
5.5675	0.00644100
5.6176	0.00644200
5.6677	0.00644100
5.7178	0.00644200
5.7679	0.00644300
5.8180	0.00644100
5.8681	0.00644200
5.9182	0.00644100
5.9683	0.00644200
6.0184	0.00644300
6.0685	0.00644100
6.1186	0.00644200
6.1687	0.00644100
6.2188	0.00644100
6.2689	0.00644200
6.3190	0.00644100
6.3691	0.00644200
6.4192	0.00644000
6.4693	0.00644100
6.5194	0.00644200
6.5695	0.00644100
6.6196	0.00644200
6.6697	0.00644000
6.7198	0.00644100
6.7699	0.00644200
6.8200	0.00644000
6.8701	0.00644100
6.9202	0.00644000
6.9703	0.00644100
7.0204	0.00644200
7.0705	0.00644000
7.1206	0.00644100
7.1707	0.00644000
7.2208	0.00644100
7.2709	0.00644200
7.3210	0.00644000
7.3711	0.00644100
7.4212	0.00644000
7.4713	0.00644100
7.5214	0.00644200
7.5715	0.00644000
7.6216	0.00644100
7.6717	0.00644000
7.7218	0.00644100
7.7719	0.00644200
7.8220	0.00644000
7.8721	0.00644100
7.9222	0.00644000
7.9723	0.00644100
8.0224	0.00644200
8.0725	0.00644000
8.1226	0.00644100
8.1727	0.00644000
8.2228	0.00644100
8.2729	0.00643900
8.3230	0.00644000
8.3731	0.00644100
8.4232	0.00644000
8.4733	0.00644100
8.5234	0.00644200
8.5735	0.00644000
8.6236	0.00644100
8.6737	0.00644000
8.7238	0.00644100
8.7739	0.00643900
8.8240	0.00644000
8.8741	0.00644100
8.9242	0.00644000
8.9743	0.00644100
9.0244	0.00643900
9.0745	0.00644000
9.1246	0.00644100
9.1747	0.00644000
9.2248	0.00644100
9.2749	0.00643900
9.3250	0.00644000
9.3751	0.00644100
9.4252	0.00644000
9.4753	0.00644100
9.5254	0.00643900
9.5755	0.00644000
9.6256	0.00644100
9.6757	0.00643900
9.7258	0.00644000
9.7759	0.00643900
9.8260	0.00644000
9.8761	0.00644100
9.9262	0.00643900
9.9763	0.00644000
10.0264	0.00643900
10.0765	0.00644000
10.1266	0.00644100
10.1767	0.00643900
10.2268	0.00644000
10.2769	0.00643900
