Tempo di volo, Can 1 e 2, discesa 4 (2.43 gradi - 0.0426 rad) no pesi
Tempo ( s )	Tempo trascorso ( s )
0,0510	9,57000E-4
0,1011	9,08000E-4
0,1512	8,98000E-4
0,2013	8,99000E-4
0,2513	8,64000E-4
0,3014	8,60000E-4
0,3515	8,60000E-4
0,4016	8,64000E-4
0,4517	8,71000E-4
0,5018	8,72000E-4
0,5520	9,02000E-4
0,6021	9,34000E-4
0,6522	9,54000E-4
0,7023	9,19000E-4
0,7525	0,00100400
0,8027	0,00113500
0,8529	0,00126200
0,9032	0,00142000
0,9535	0,00158300
1,0037	0,00175700
1,0540	0,00193900
1,1043	0,00213500
1,1546	0,00234200
1,2049	0,00257400
1,2553	0,00279800
1,3056	0,00303000
1,3559	0,00326400
1,4063	0,00351900
1,4566	0,00378200
1,5070	0,00405600
1,5574	0,00433900
1,6078	0,00463400
1,6582	0,00493800
1,7086	0,00524900
1,7590	0,00557300
1,8095	0,00590400
1,8599	0,00624800
1,9104	0,00660100
1,9608	0,00696200
2,0113	0,00733500
2,0618	0,00771500
2,1123	0,00810700
2,1628	0,00850700
2,2133	0,00891900
2,2638	0,00935300
2,3144	0,00978200
2,3649	0,0102240
2,4154	0,0106730
2,4660	0,0111350
2,5166	0,0116050
2,5671	0,0120800
2,6174	0,0121920
