Tempo di volo, Can 1 e 2, discesa 2 (2.43 gradi - 0.0426 rad) velocità iniziale
Tempo ( s )	Tempo trascorso ( s )
0,0510	9,13000E-4
0,1011	9,31000E-4
0,1512	9,28000E-4
0,2013	9,26000E-4
0,2514	9,26000E-4
0,3015	9,27000E-4
0,3515	8,74000E-4
0,4017	9,05000E-4
0,4517	8,80000E-4
0,5019	8,83000E-4
0,5519	8,63000E-4
0,6021	8,96000E-4
0,6522	9,38000E-4
0,7023	9,23000E-4
0,7524	9,73000E-4
0,8027	0,00110300
0,8529	0,00125700
0,9032	0,00141200
0,9534	0,00157500
1,0037	0,00174000
1,0540	0,00191300
1,1043	0,00209500
1,1545	0,00228100
1,2049	0,00248700
1,2552	0,00268200
1,3055	0,00288400
1,3557	0,00307900
1,4061	0,00329300
1,4564	0,00351300
1,5067	0,00373600
1,5570	0,00396700
1,6074	0,00420200
1,6577	0,00444400
1,7081	0,00469300
1,7584	0,00494400
1,8088	0,00520300
1,8591	0,00546500
1,9095	0,00573500
1,9599	0,00600900
2,0103	0,00629100
2,0606	0,00657800
2,1110	0,00678300
2,1611	0,00685600
2,2112	0,00683700
2,2613	0,00685600
2,3126	0,00798500
2,3630	0,00833100
2,4134	0,00867700
2,4639	0,00900600
2,5143	0,00935100
2,5648	0,00971100
2,6120	0,00683700
2,6621	0,00685500
2,7122	0,00685400
2,7623	0,00685600
2,8125	0,00689900
2,8676	0,0119390
