Tempo di volo, Can 1 e 2, Raccolta #39
Tempo ( s )	Tempo trascorso ( s )
0,0510	8,83000E-4
0,1010	8,67000E-4
0,1512	8,96000E-4
0,2013	8,89000E-4
0,2513	8,69000E-4
0,3014	8,67000E-4
0,3516	9,05000E-4
0,4017	8,86000E-4
0,4518	8,95000E-4
0,5019	8,87000E-4
0,5519	8,68000E-4
0,6020	8,68000E-4
0,6521	8,78000E-4
0,7023	8,93000E-4
0,7524	8,94000E-4
0,8025	9,11000E-4
0,8526	9,09000E-4
0,9027	8,86000E-4
0,9527	8,73000E-4
1,0028	8,57000E-4
1,0529	8,68000E-4
1,1030	8,63000E-4
1,1532	8,87000E-4
1,2033	8,97000E-4
1,2534	9,12000E-4
1,3035	9,23000E-4
1,3536	9,34000E-4
1,4037	9,45000E-4
1,4538	9,42000E-4
1,5039	9,49000E-4
1,5540	9,40000E-4
1,6041	9,30000E-4
1,6542	8,90000E-4
1,7043	9,01000E-4
1,7544	9,38000E-4
1,8045	9,75000E-4
1,8547	0,00101500
1,9048	0,00104100
1,9549	0,00108000
2,0051	0,00112300
2,0552	0,00116600
2,1054	0,00121200
2,1555	0,00125700
2,2057	0,00130400
2,2558	0,00135200
2,3060	0,00139900
2,3561	0,00144900
2,4063	0,00149900
2,4564	0,00154800
2,5066	0,00160000
2,5567	0,00165100
2,6069	0,00170500
2,6570	0,00176000
2,7072	0,00181300
2,7573	0,00187000
2,8075	0,00192500
2,8577	0,00198400
2,9078	0,00204400
2,9580	0,00210400
3,0081	0,00216700
3,0583	0,00222800
3,1085	0,00230200
3,1586	0,00235500
3,2088	0,00241800
3,2590	0,00249700
3,3091	0,00256300
3,3593	0,00263100
3,4095	0,00269900
3,4596	0,00276600
3,5098	0,00283500
3,5600	0,00290400
3,6101	0,00297500
3,6603	0,00304800
3,7105	0,00311900
3,7607	0,00319300
3,8108	0,00325500
3,8610	0,00333000
3,9112	0,00340600
3,9614	0,00348100
4,0115	0,00355900
4,0617	0,00363600
4,1119	0,00371500
4,1621	0,00379600
4,2122	0,00387400
4,2624	0,00395600
4,3126	0,00403600
4,3628	0,00411900
4,4130	0,00420300
4,4632	0,00428600
4,5133	0,00437100
4,5635	0,00445500
4,6137	0,00454200
4,6639	0,00462900
4,7141	0,00471500
4,7643	0,00480400
4,8145	0,00489200
4,8647	0,00498200
4,9148	0,00507300
4,9650	0,00516200
5,0152	0,00525400
5,0654	0,00534500
5,1156	0,00543900
5,1658	0,00553300
5,2160	0,00562600
5,2662	0,00572200
5,3164	0,00581600
5,3666	0,00591300
5,4168	0,00601100
5,4670	0,00610800
5,5172	0,00620700
5,5674	0,00630400
5,6176	0,00640500
5,6678	0,00650600
5,7180	0,00660500
5,7682	0,00670800
5,8184	0,00680800
5,8686	0,00691200
5,9188	0,00701700
5,9690	0,00712100
6,0192	0,00722600
6,0694	0,00733100
6,1196	0,00743800
6,1698	0,00754700
6,2200	0,00765400
6,2702	0,00776400
6,3204	0,00787200
6,3707	0,00798500
6,4209	0,00809600
6,4711	0,00820600
6,5213	0,00832000
6,5715	0,00843200
6,6217	0,00854800
6,6719	0,00866400
6,7221	0,00878000
6,7724	0,00890900
6,8226	0,00902500
6,8728	0,00914500
6,9230	0,00926600
6,9733	0,00938500
7,0235	0,00950800
7,0737	0,00962900
7,1239	0,00975300
7,1741	0,00987800
7,2244	0,0100010
7,2746	0,0101290
7,3248	0,0102540
7,3751	0,0103830
7,4253	0,0105130
7,4755	0,0106420
7,5257	0,0107730
7,5760	0,0109050
7,6262	0,0110370
7,6764	0,0111720
7,7267	0,0113050
7,7769	0,0114410
7,8271	0,0115760
7,8774	0,0117150
7,9276	0,0118550
7,9779	0,0119920
8,0280	0,0120650
8,0781	0,0120250
8,1281	0,0119550
8,1782	0,0118880
8,2282	0,0118200
8,2782	0,0117570
8,3283	0,0116930
8,3783	0,0116330
8,4283	0,0115750
8,4784	0,0115180
8,5284	0,0114640
8,5785	0,0114110
8,6285	0,0113620
8,6786	0,0113120
