Tempo di volo, Can 1 e 2, discesa 4 (2.43 gradi - 0.0426 rad) velocità iniziale
Tempo ( s )	Tempo trascorso ( s )
0,0510	9,12000E-4
0,1011	8,84000E-4
0,1512	8,86000E-4
0,2012	8,64000E-4
0,2514	9,13000E-4
0,3015	9,64000E-4
0,3516	9,63000E-4
0,4019	0,00114700
0,4522	0,00133400
0,5025	0,00154300
0,5528	0,00176500
0,6032	0,00199400
0,6535	0,00223600
0,7039	0,00250900
0,7542	0,00276400
0,8046	0,00302300
0,8550	0,00330200
0,9054	0,00359400
0,9558	0,00389500
1,0062	0,00420400
1,0566	0,00452500
1,1070	0,00485300
1,1575	0,00519400
1,2079	0,00554400
1,2584	0,00590100
1,3088	0,00627100
1,3593	0,00664800
1,4098	0,00703700
1,4603	0,00743400
1,5108	0,00784200
1,5613	0,00826000
1,6119	0,00868600
1,6624	0,00912400
1,7129	0,00958100
1,7635	0,0100380
1,8141	0,0105050
1,8646	0,0109790
1,9152	0,0114660
1,9658	0,0119600
2,0162	0,0122610
