Tempo di volo. Can 1 e 2. calibrazione 80
Tempo ( s )	Tempo trascorso ( s )
0.0548	0.00470000
0.1049	0.00469900
0.1550	0.00470000
0.2051	0.00469800
0.2552	0.00469900
0.3053	0.00470100
0.3554	0.00469900
0.4055	0.00470000
0.4556	0.00469900
0.5057	0.00470000
0.5558	0.00469800
0.6059	0.00470000
0.6560	0.00470000
0.7061	0.00469900
0.7562	0.00470000
0.8063	0.00469900
0.8564	0.00470000
0.9065	0.00469800
0.9566	0.00469900
1.0067	0.00470100
1.0568	0.00469900
1.1069	0.00470000
1.1570	0.00469900
1.2071	0.00470000
1.2572	0.00470100
1.3073	0.00470000
1.3574	0.00470100
1.4075	0.00469900
1.4576	0.00470000
1.5077	0.00469900
1.5578	0.00470000
1.6079	0.00470100
1.6580	0.00469900
1.7081	0.00470100
1.7582	0.00469900
1.8083	0.00470000
1.8584	0.00469900
1.9085	0.00470000
1.9586	0.00470100
2.0087	0.00469900
2.0588	0.00470000
2.1089	0.00469900
2.1590	0.00470000
2.2091	0.00469900
2.2592	0.00470000
2.3093	0.00470100
2.3594	0.00469900
2.4095	0.00470000
2.4596	0.00469900
2.5097	0.00470000
2.5598	0.00469800
2.6099	0.00470000
2.6600	0.00470100
2.7101	0.00469900
2.7602	0.00470000
2.8103	0.00469900
2.8604	0.00470000
2.9105	0.00469900
2.9606	0.00469900
3.0107	0.00470100
3.0608	0.00469900
3.1109	0.00470000
3.1610	0.00469900
3.2111	0.00470000
3.2612	0.00470100
3.3113	0.00470000
3.3614	0.00470100
3.4115	0.00469900
3.4616	0.00470000
3.5117	0.00469900
3.5618	0.00470000
3.6119	0.00470100
3.6620	0.00469900
3.7121	0.00470100
3.7622	0.00469900
3.8123	0.00470000
3.8624	0.00469900
3.9125	0.00470000
3.9626	0.00470100
4.0127	0.00469900
4.0628	0.00470000
4.1129	0.00469900
4.1630	0.00470000
4.2131	0.00469900
4.2632	0.00470000
4.3133	0.00470100
4.3634	0.00469900
4.4135	0.00470000
4.4636	0.00469900
4.5137	0.00470000
4.5638	0.00469900
4.6139	0.00470000
4.6640	0.00470100
4.7141	0.00469900
4.7642	0.00470000
4.8143	0.00469900
4.8644	0.00470000
4.9145	0.00469900
4.9646	0.00470000
5.0147	0.00470100
5.0648	0.00469900
5.1149	0.00470000
5.1650	0.00469900
5.2151	0.00470000
5.2652	0.00469900
5.3153	0.00470000
5.3654	0.00470100
5.4155	0.00469900
5.4656	0.00470000
5.5157	0.00469900
5.5658	0.00470000
5.6159	0.00469900
5.6660	0.00470000
5.7161	0.00470100
5.7662	0.00469900
5.8163	0.00470000
5.8664	0.00469900
5.9165	0.00470000
5.9666	0.00470100
6.0167	0.00470000
6.0668	0.00470100
6.1169	0.00469900
6.1670	0.00470000
6.2171	0.00469900
6.2672	0.00470000
6.3173	0.00469900
6.3674	0.00470000
6.4175	0.00470100
6.4676	0.00469900
6.5177	0.00470000
6.5678	0.00469900
6.6179	0.00470000
6.6680	0.00470100
6.7181	0.00470000
6.7682	0.00470100
6.8183	0.00469900
6.8684	0.00470000
6.9185	0.00469900
6.9686	0.00470000
7.0187	0.00470100
7.0688	0.00470000
7.1189	0.00470100
7.1690	0.00469900
7.2191	0.00470000
7.2692	0.00469900
7.3193	0.00470000
7.3694	0.00470100
7.4195	0.00470000
7.4696	0.00470100
7.5197	0.00469900
7.5698	0.00470000
7.6199	0.00469900
7.6700	0.00470000
7.7201	0.00470100
7.7702	0.00470000
7.8203	0.00470100
7.8704	0.00469900
7.9205	0.00470000
7.9706	0.00469900
8.0207	0.00470000
8.0708	0.00470100
8.1209	0.00470000
8.1710	0.00470100
8.2211	0.00470000
8.2712	0.00470100
8.3213	0.00469900
8.3714	0.00470000
8.4215	0.00470100
8.4716	0.00470000
8.5217	0.00470100
8.5718	0.00469800
8.6219	0.00470100
8.6720	0.00469900
8.7221	0.00470000
8.7722	0.00470100
8.8223	0.00470000
8.8724	0.00470100
8.9225	0.00470000
8.9726	0.00470100
9.0227	0.00469900
9.0728	0.00470000
9.1229	0.00470100
9.1730	0.00470000
9.2231	0.00470100
9.2732	0.00470000
9.3233	0.00470100
9.3734	0.00469900
9.4235	0.00470000
9.4736	0.00470100
9.5237	0.00470000
9.5738	0.00470100
9.6239	0.00470000
9.6740	0.00470000
9.7241	0.00469900
9.7742	0.00470000
9.8243	0.00470100
9.8744	0.00470000
9.9245	0.00470100
9.9746	0.00469900
10.0247	0.00470000
10.0748	0.00469900
10.1249	0.00470000
10.1750	0.00470100
10.2251	0.00469900
