Tempo di volo. Can 1 e 2. calibrazione 130
Tempo ( s )	Tempo trascorso ( s )
0.0577	0.00758900
0.1078	0.00758700
0.1579	0.00758800
0.2080	0.00758700
0.2581	0.00758700
0.3082	0.00758900
0.3583	0.00758700
0.4084	0.00758800
0.4585	0.00758700
0.5086	0.00758800
0.5587	0.00758900
0.6088	0.00758700
0.6589	0.00758800
0.7090	0.00758700
0.7591	0.00758700
0.8092	0.00758600
0.8593	0.00758700
0.9094	0.00758800
0.9595	0.00758600
1.0096	0.00758700
1.0597	0.00758500
1.1098	0.00758600
1.1599	0.00758400
1.2100	0.00758500
1.2601	0.00758600
1.3102	0.00758500
1.3603	0.00758600
1.4104	0.00758400
1.4605	0.00758500
1.5106	0.00758400
1.5607	0.00758500
1.6108	0.00758600
1.6609	0.00758400
1.7110	0.00758500
1.7611	0.00758400
1.8112	0.00758500
1.8613	0.00758600
1.9114	0.00758400
1.9615	0.00758500
2.0116	0.00758400
2.0617	0.00758500
2.1118	0.00758400
2.1619	0.00758500
2.2120	0.00758600
2.2621	0.00758400
2.3122	0.00758500
2.3623	0.00758400
2.4124	0.00758500
2.4625	0.00758400
2.5126	0.00758500
2.5627	0.00758600
2.6128	0.00758500
2.6629	0.00758600
2.7130	0.00758500
2.7631	0.00758600
2.8132	0.00758500
2.8633	0.00758600
2.9134	0.00758700
2.9635	0.00758600
3.0136	0.00758700
3.0637	0.00758500
3.1138	0.00758700
3.1639	0.00758800
3.2140	0.00758600
3.2641	0.00758700
3.3142	0.00758600
3.3643	0.00758700
3.4144	0.00758500
3.4645	0.00758600
3.5146	0.00758800
3.5647	0.00758600
3.6148	0.00758700
3.6649	0.00758600
3.7150	0.00758700
3.7651	0.00758600
3.8152	0.00758700
3.8653	0.00758800
3.9154	0.00758700
3.9655	0.00758800
4.0156	0.00758600
4.0657	0.00758700
4.1158	0.00758600
4.1659	0.00758700
4.2160	0.00758800
4.2661	0.00758700
4.3162	0.00758800
4.3663	0.00758700
4.4164	0.00758800
4.4665	0.00758900
4.5166	0.00758800
4.5667	0.00758900
4.6168	0.00758800
4.6669	0.00758900
4.7170	0.00758700
4.7671	0.00758800
4.8172	0.00758700
4.8673	0.00758800
4.9174	0.00758900
4.9675	0.00758800
5.0176	0.00758900
5.0677	0.00758800
5.1178	0.00758900
5.1679	0.00759000
5.2180	0.00758900
5.2681	0.00759000
5.3182	0.00758800
5.3683	0.00758900
5.4184	0.00758800
5.4685	0.00758900
5.5186	0.00759100
5.5687	0.00758900
5.6188	0.00759000
5.6689	0.00758900
5.7190	0.00759100
5.7691	0.00758900
5.8192	0.00759100
5.8693	0.00759200
5.9194	0.00759100
5.9695	0.00759200
6.0196	0.00759000
6.0697	0.00759100
6.1198	0.00759000
6.1699	0.00759100
6.2200	0.00759200
6.2701	0.00759100
6.3202	0.00759200
6.3703	0.00759100
6.4204	0.00759200
6.4705	0.00759300
6.5206	0.00759100
6.5707	0.00759200
6.6208	0.00759100
6.6709	0.00759200
6.7210	0.00759100
6.7711	0.00759100
6.8212	0.00759000
6.8713	0.00759100
6.9214	0.00759200
6.9715	0.00759100
7.0216	0.00759200
7.0717	0.00759000
7.1218	0.00759200
7.1719	0.00759300
7.2220	0.00759100
7.2721	0.00759200
7.3222	0.00759100
7.3723	0.00759200
7.4224	0.00759100
7.4725	0.00759200
7.5226	0.00759300
7.5727	0.00759200
7.6228	0.00759300
7.6729	0.00759100
7.7230	0.00759200
7.7731	0.00759100
7.8232	0.00759200
7.8733	0.00759300
7.9234	0.00759200
7.9735	0.00759300
8.0236	0.00759100
8.0737	0.00759200
8.1238	0.00759100
8.1739	0.00759200
8.2240	0.00759300
8.2741	0.00759100
8.3242	0.00759200
8.3743	0.00759100
8.4244	0.00759200
8.4745	0.00759000
8.5246	0.00759100
8.5747	0.00759200
8.6248	0.00759100
8.6749	0.00759100
8.7250	0.00759000
8.7751	0.00759100
8.8252	0.00758900
8.8753	0.00759000
8.9254	0.00759100
8.9755	0.00759000
9.0256	0.00759100
9.0757	0.00758900
9.1258	0.00759000
9.1759	0.00759100
9.2260	0.00759000
9.2761	0.00759100
9.3262	0.00758900
9.3763	0.00759000
9.4264	0.00758900
9.4765	0.00759000
9.5266	0.00758800
9.5767	0.00758900
9.6268	0.00759000
9.6769	0.00758900
9.7270	0.00759000
9.7771	0.00758900
9.8272	0.00759000
9.8773	0.00759100
9.9274	0.00758900
9.9775	0.00759000
10.0276	0.00758900
10.0777	0.00759000
10.1278	0.00758900
10.1779	0.00759000
10.2280	0.00759100
10.2781	0.00758900
10.3282	0.00759100
10.3783	0.00758900
10.4284	0.00759000
10.4785	0.00758800
10.5286	0.00758800
10.5787	0.00759100
10.6287	0.00750500
10.6789	0.00759000
10.7290	0.00758900
10.7791	0.00759000
10.8292	0.00758900
10.8793	0.00758900
10.9294	0.00759100
10.9795	0.00758900
11.0296	0.00759000
11.0797	0.00758900
11.1298	0.00759000
11.1799	0.00758800
11.2300	0.00758900
11.2801	0.00759000
11.3302	0.00758900
11.3803	0.00759000
11.4304	0.00758800
11.4805	0.00758900
11.5306	0.00758800
11.5807	0.00758900
11.6308	0.00759000
11.6809	0.00758800
11.7310	0.00759000
11.7811	0.00758800
11.8312	0.00758900
11.8813	0.00758800
11.9314	0.00758900
