Tempo di volo, Can 1 e 2, discesa 2 (2.43 gradi - 0.0426 rad) no pesi
Tempo ( s )	Tempo trascorso ( s )
0,0510	9,14000E-4
0,1011	9,28000E-4
0,1512	9,28000E-4
0,2013	9,29000E-4
0,2514	9,28000E-4
0,3015	9,27000E-4
0,3516	9,27000E-4
0,4017	9,28000E-4
0,4518	9,30000E-4
0,5019	9,26000E-4
0,5520	9,24000E-4
0,6021	9,08000E-4
0,6522	8,87000E-4
0,7023	8,99000E-4
0,7524	8,95000E-4
0,8025	8,95000E-4
0,8526	9,03000E-4
0,9027	8,91000E-4
0,9527	8,80000E-4
1,0029	9,54000E-4
1,0529	8,73000E-4
1,1030	8,79000E-4
1,1532	8,92000E-4
1,2033	9,16000E-4
1,2534	9,36000E-4
1,3035	9,49000E-4
1,3536	8,90000E-4
1,4037	9,58000E-4
1,4539	0,00104300
1,5041	0,00115000
1,5543	0,00125900
1,6045	0,00137900
1,6548	0,00149900
1,7050	0,00162700
1,7552	0,00176100
1,8055	0,00190000
1,8557	0,00205000
1,9060	0,00221400
1,9562	0,00237100
2,0065	0,00253200
2,0568	0,00270100
2,1070	0,00286500
2,1573	0,00304400
2,2076	0,00323000
2,2579	0,00342000
2,3082	0,00361800
2,3585	0,00382200
2,4088	0,00402900
2,4591	0,00424400
2,5094	0,00446200
2,5598	0,00468900
2,6101	0,00491800
2,6604	0,00515500
2,7108	0,00539800
2,7611	0,00564400
2,8115	0,00589800
2,8618	0,00615400
2,9122	0,00642000
2,9626	0,00669000
3,0128	0,00687600
3,0632	0,00715800
3,1136	0,00744200
3,1640	0,00773300
3,2144	0,00805100
3,2649	0,00840100
3,3153	0,00873400
3,3657	0,00904700
3,4161	0,00936900
3,4666	0,00969400
3,5170	0,0100390
3,5674	0,0103780
3,6179	0,0107210
3,6683	0,0110720
3,7187	0,0113610
3,7686	0,0111770
3,8187	0,0110970
