Tempo di volo, Can 1 e 2, discesa 3 (2.43 gradi - 0.0426 rad) no pesi
Tempo ( s )	Tempo trascorso ( s )
0,0510	9,29000E-4
0,1011	9,26000E-4
0,1512	9,10000E-4
0,2013	9,08000E-4
0,2514	9,08000E-4
0,3015	9,06000E-4
0,3516	9,07000E-4
0,4017	9,07000E-4
0,4518	9,06000E-4
0,5019	9,27000E-4
0,5519	8,78000E-4
0,6021	8,97000E-4
0,6521	8,64000E-4
0,7023	8,96000E-4
0,7523	8,66000E-4
0,8024	8,75000E-4
0,8525	8,61000E-4
0,9026	8,71000E-4
0,9528	8,85000E-4
1,0029	9,22000E-4
1,0530	9,40000E-4
1,1031	9,36000E-4
1,1532	9,17000E-4
1,2034	0,00102200
1,2536	0,00115100
1,3039	0,00129000
1,3541	0,00143700
1,4044	0,00159000
1,4546	0,00175400
1,5049	0,00192600
1,5552	0,00210800
1,6055	0,00231100
1,6558	0,00251200
1,7061	0,00272100
1,7564	0,00293800
1,8067	0,00315000
1,8571	0,00338400
1,9074	0,00362500
1,9577	0,00387700
2,0081	0,00413500
2,0585	0,00440400
2,1089	0,00468200
2,1592	0,00496600
2,2096	0,00525900
2,2600	0,00556000
2,3104	0,00587200
2,3609	0,00619300
2,4113	0,00651900
2,4617	0,00679000
2,5121	0,00713700
2,5626	0,00751200
2,6131	0,00789200
2,6635	0,00828000
2,7140	0,00866700
2,7645	0,00905700
2,8150	0,00945600
2,8655	0,00987200
2,9161	0,0102880
2,9666	0,0107140
3,0171	0,0111450
3,0677	0,0115890
3,1182	0,0120330
3,1684	0,0121100
