Tempo di volo, Can 1 e 2, Raccolta #42
Tempo ( s )	Tempo trascorso ( s )
0,0509	8,69000E-4
0,1011	9,14000E-4
0,1511	8,80000E-4
0,2013	9,38000E-4
0,2514	9,59000E-4
0,3015	9,04000E-4
0,3517	9,92000E-4
0,4019	0,00109500
0,4521	0,00121400
0,5023	0,00133300
0,5525	0,00145300
0,6027	0,00157200
0,6530	0,00169400
0,7032	0,00181500
0,7534	0,00193500
0,8036	0,00205900
0,8539	0,00218500
0,9041	0,00232200
0,9543	0,00243700
1,0045	0,00257600
1,0548	0,00270400
1,1050	0,00283000
1,1552	0,00295000
1,2054	0,00307800
1,2557	0,00320700
1,3059	0,00333900
1,3561	0,00346900
1,4064	0,00360200
1,4566	0,00373600
1,5068	0,00386800
1,5571	0,00400400
1,6073	0,00413700
1,6575	0,00427400
1,7078	0,00441100
1,7580	0,00454700
1,8083	0,00468600
1,8585	0,00482300
1,9087	0,00496300
1,9590	0,00510300
2,0092	0,00524000
2,0595	0,00538200
2,1097	0,00552200
2,1599	0,00566500
2,2102	0,00580900
2,2604	0,00595100
2,3107	0,00609600
2,3609	0,00623900
2,4112	0,00638600
2,4614	0,00653300
2,5116	0,00667800
2,5619	0,00682600
2,6121	0,00697100
2,6624	0,00712100
2,7126	0,00727200
2,7629	0,00742000
2,8131	0,00757200
2,8634	0,00772200
2,9136	0,00787500
2,9639	0,00803800
3,0141	0,00818100
3,0644	0,00834800
3,1147	0,00849100
3,1649	0,00865900
3,2152	0,00881700
3,2654	0,00897300
3,3157	0,00913200
3,3660	0,00929100
3,4162	0,00945200
3,4665	0,00961100
3,5167	0,00977400
3,5670	0,00993800
3,6173	0,0101000
3,6675	0,0102660
3,7178	0,0104300
3,7681	0,0105980
3,8183	0,0107650
3,8686	0,0109320
3,9189	0,0111020
3,9691	0,0112710
4,0194	0,0114430
4,0697	0,0116160
4,1200	0,0117880
4,1702	0,0119630
4,2205	0,0120870
4,2706	0,0120940
4,3207	0,0120990
4,3707	0,0120350
4,4208	0,0120050
4,4709	0,0120040
4,5210	0,0120120
4,5711	0,0120140
4,6212	0,0120080
4,6713	0,0120050
4,7214	0,0120010
4,7715	0,0120010
