Temperatura, Can B, 24V
Tempo ( s )	Temperatura ( °C )
28,7000	24,47803195
28,8000	24,47803195
28,9000	24,47803195
29,0000	24,47803195
29,1000	24,43302367
29,2000	24,47803195
29,3000	24,47803195
29,4000	24,47803195
29,5000	24,47803195
29,6000	24,47803195
29,7000	24,43302367
29,8000	24,47803195
29,9000	24,47803195
30,0000	24,47803195
30,1000	24,47803195
30,2000	24,47803195
30,3000	24,47803195
30,4000	24,47803195
30,5000	24,47803195
30,6000	24,47803195
30,7000	24,47803195
30,8000	24,47803195
30,9000	24,47803195
31,0000	24,52306280
31,1000	24,47803195
31,2000	24,47803195
31,3000	24,47803195
31,4000	24,52306280
31,5000	24,47803195
31,6000	24,47803195
31,7000	24,47803195
31,8000	24,47803195
31,9000	24,47803195
32,0000	24,47803195
32,1000	24,47803195
32,2000	24,47803195
32,3000	24,47803195
32,4000	24,47803195
32,5000	24,47803195
32,6000	24,47803195
32,7000	24,43302367
32,8000	24,47803195
32,9000	24,47803195
33,0000	24,47803195
33,1000	24,47803195
33,2000	24,47803195
33,3000	24,47803195
33,4000	24,47803195
33,5000	24,47803195
33,6000	24,47803195
33,7000	24,47803195
33,8000	24,47803195
33,9000	24,47803195
34,0000	24,47803195
34,1000	24,47803195
34,2000	24,47803195
34,3000	24,47803195
34,4000	24,47803195
34,5000	24,47803195
34,6000	24,47803195
34,7000	24,47803195
34,8000	24,47803195
34,9000	24,47803195
35,0000	24,47803195
35,1000	24,47803195
35,2000	24,47803195
35,3000	24,47803195
35,4000	24,47803195
35,5000	24,47803195
35,6000	24,47803195
35,7000	24,47803195
35,8000	24,47803195
35,9000	24,47803195
36,0000	24,52306280
36,1000	24,47803195
36,2000	24,47803195
36,3000	24,47803195
36,4000	24,47803195
36,5000	24,47803195
36,6000	24,47803195
36,7000	24,47803195
36,8000	24,47803195
36,9000	24,47803195
37,0000	24,47803195
37,1000	24,47803195
37,2000	24,47803195
37,3000	24,47803195
37,4000	24,47803195
37,5000	24,47803195
37,6000	24,47803195
37,7000	24,47803195
37,8000	24,47803195
37,9000	24,47803195
38,0000	24,52306280
38,1000	24,47803195
38,2000	24,47803195
38,3000	24,47803195
38,4000	24,47803195
38,5000	24,47803195
38,6000	24,47803195
38,7000	24,47803195
38,8000	24,47803195
38,9000	24,47803195
39,0000	24,47803195
39,1000	24,47803195
39,2000	24,47803195
39,3000	24,47803195
39,4000	24,47803195
39,5000	24,47803195
39,6000	24,47803195
39,7000	24,47803195
39,8000	24,47803195
39,9000	24,43302367
40,0000	24,47803195
40,1000	24,43302367
40,2000	24,47803195
40,3000	24,47803195
40,4000	24,47803195
40,5000	24,47803195
40,6000	24,52306280
40,7000	24,47803195
40,8000	24,47803195
40,9000	24,47803195
41,0000	24,47803195
41,1000	24,43302367
41,2000	24,47803195
41,3000	24,47803195
41,4000	24,47803195
41,5000	24,47803195
41,6000	24,47803195
41,7000	24,47803195
41,8000	24,47803195
41,9000	24,47803195
42,0000	24,47803195
42,1000	24,47803195
42,2000	24,47803195
42,3000	24,47803195
42,4000	24,47803195
42,5000	24,47803195
42,6000	24,52306280
42,7000	24,47803195
42,8000	24,47803195
42,9000	24,47803195
43,0000	24,47803195
43,1000	24,47803195
43,2000	24,47803195
43,3000	24,47803195
43,4000	24,47803195
43,5000	24,43302367
43,6000	24,47803195
43,7000	24,47803195
43,8000	24,47803195
43,9000	24,47803195
44,0000	24,47803195
44,1000	24,47803195
44,2000	24,47803195
44,3000	24,47803195
44,4000	24,47803195
44,5000	24,47803195
44,6000	24,47803195
44,7000	24,47803195
44,8000	24,47803195
44,9000	24,47803195
45,0000	24,47803195
45,1000	24,47803195
45,2000	24,52306280
45,3000	24,47803195
45,4000	24,47803195
45,5000	24,43302367
45,6000	24,47803195
45,7000	24,43302367
45,8000	24,47803195
45,9000	24,47803195
46,0000	24,47803195
46,1000	24,47803195
46,2000	24,47803195
46,3000	24,47803195
46,4000	24,47803195
46,5000	24,43302367
46,6000	24,47803195
46,7000	24,47803195
46,8000	24,47803195
46,9000	24,47803195
47,0000	24,47803195
47,1000	24,47803195
47,2000	24,47803195
47,3000	24,43302367
47,4000	24,47803195
47,5000	24,47803195
47,6000	24,47803195
47,7000	24,47803195
47,8000	24,47803195
47,9000	24,47803195
48,0000	24,47803195
48,1000	24,47803195
48,2000	24,47803195
48,3000	24,47803195
48,4000	24,47803195
48,5000	24,47803195
48,6000	24,47803195
48,7000	24,43302367
48,8000	24,47803195
48,9000	24,47803195
49,0000	24,47803195
49,1000	24,47803195
49,2000	24,47803195
49,3000	24,43302367
49,4000	24,47803195
49,5000	24,47803195
49,6000	24,47803195
49,7000	24,47803195
49,8000	24,47803195
49,9000	24,47803195
50,0000	24,47803195
50,1000	24,47803195
50,2000	24,47803195
50,3000	24,47803195
50,4000	24,52306280
50,5000	24,47803195
50,6000	24,47803195
50,7000	24,47803195
50,8000	24,47803195
50,9000	24,43302367
51,0000	24,47803195
51,1000	24,47803195
51,2000	24,47803195
51,3000	24,43302367
51,4000	24,47803195
51,5000	24,47803195
51,6000	24,47803195
51,7000	24,47803195
51,8000	24,47803195
51,9000	24,47803195
52,0000	24,52306280
52,1000	24,47803195
52,2000	24,47803195
52,3000	24,47803195
52,4000	24,47803195
52,5000	24,47803195
52,6000	24,47803195
52,7000	24,47803195
52,8000	24,47803195
52,9000	24,43302367
53,0000	24,47803195
53,1000	24,47803195
53,2000	24,47803195
53,3000	24,47803195
53,4000	24,47803195
53,5000	24,47803195
53,6000	24,47803195
53,7000	24,43302367
53,8000	24,47803195
53,9000	24,43302367
54,0000	24,47803195
54,1000	24,47803195
54,2000	24,47803195
54,3000	24,47803195
54,4000	24,47803195
54,5000	24,43302367
54,6000	24,47803195
54,7000	24,47803195
54,8000	24,47803195
54,9000	24,47803195
55,0000	24,47803195
55,1000	24,47803195
55,2000	24,47803195
55,3000	24,47803195
55,4000	24,47803195
55,5000	24,47803195
55,6000	24,47803195
55,7000	24,47803195
55,8000	24,47803195
55,9000	24,47803195
56,0000	24,47803195
56,1000	24,47803195
56,2000	24,47803195
56,3000	24,47803195
56,4000	24,47803195
56,5000	24,47803195
56,6000	24,47803195
56,7000	24,43302367
56,8000	24,47803195
56,9000	24,47803195
57,0000	24,47803195
57,1000	24,47803195
57,2000	24,47803195
57,3000	24,47803195
57,4000	24,47803195
57,5000	24,47803195
57,6000	24,47803195
57,7000	24,47803195
57,8000	24,52306280
57,9000	24,47803195
58,0000	24,47803195
58,1000	24,43302367
58,2000	24,47803195
58,3000	24,47803195
58,4000	24,47803195
58,5000	24,47803195
58,6000	24,47803195
58,7000	24,47803195
58,8000	24,47803195
58,9000	24,47803195
59,0000	24,47803195
59,1000	24,47803195
59,2000	24,47803195
59,3000	24,47803195
59,4000	24,47803195
59,5000	24,47803195
59,6000	24,47803195
59,7000	24,47803195
59,8000	24,47803195
59,9000	24,43302367
60,0000	24,47803195
60,1000	24,47803195
60,2000	24,47803195
60,3000	24,47803195
60,4000	24,47803195
60,5000	24,47803195
60,6000	24,47803195
60,7000	24,47803195
60,8000	24,47803195
60,9000	24,47803195
61,0000	24,47803195
61,1000	24,47803195
61,2000	24,47803195
61,3000	24,47803195
61,4000	24,47803195
61,5000	24,47803195
61,6000	24,47803195
61,7000	24,43302367
61,8000	24,47803195
61,9000	24,47803195
62,0000	24,47803195
62,1000	24,47803195
62,2000	24,47803195
62,3000	24,47803195
62,4000	24,47803195
62,5000	24,47803195
62,6000	24,52306280
62,7000	24,47803195
62,8000	24,47803195
62,9000	24,47803195
63,0000	24,47803195
63,1000	24,47803195
63,2000	24,47803195
63,3000	24,47803195
63,4000	24,47803195
63,5000	24,47803195
63,6000	24,47803195
63,7000	24,47803195
63,8000	24,47803195
63,9000	24,47803195
64,0000	24,52306280
64,1000	24,47803195
64,2000	24,47803195
64,3000	24,47803195
64,4000	24,47803195
64,5000	24,47803195
64,6000	24,47803195
64,7000	24,47803195
64,8000	24,47803195
64,9000	24,47803195
65,0000	24,47803195
65,1000	24,43302367
65,2000	24,47803195
65,3000	24,43302367
65,4000	24,47803195
65,5000	24,47803195
65,6000	24,47803195
65,7000	24,47803195
65,8000	24,47803195
65,9000	24,47803195
66,0000	24,47803195
66,1000	24,47803195
66,2000	24,47803195
66,3000	24,47803195
66,4000	24,47803195
66,5000	24,47803195
66,6000	24,47803195
66,7000	24,47803195
66,8000	24,47803195
66,9000	24,47803195
67,0000	24,47803195
67,1000	24,47803195
67,2000	24,47803195
67,3000	24,47803195
67,4000	24,47803195
67,5000	24,47803195
67,6000	24,47803195
67,7000	24,47803195
67,8000	24,47803195
67,9000	24,47803195
68,0000	24,52306280
68,1000	24,47803195
68,2000	24,47803195
68,3000	24,47803195
68,4000	24,47803195
68,5000	24,47803195
68,6000	24,47803195
68,7000	24,47803195
68,8000	24,47803195
68,9000	24,47803195
69,0000	24,47803195
69,1000	24,47803195
69,2000	24,47803195
69,3000	24,47803195
69,4000	24,52306280
69,5000	24,47803195
69,6000	24,47803195
69,7000	24,43302367
69,8000	24,47803195
69,9000	24,43302367
70,0000	24,47803195
70,1000	24,47803195
70,2000	24,47803195
70,3000	24,43302367
70,4000	24,47803195
70,5000	24,47803195
70,6000	24,47803195
70,7000	24,43302367
70,8000	24,52306280
