#a		b		c


#n=0
   -0.1666681523   7.33399762e-06      1.000040815

#n=1
  -0.05066394195  7.333993761e-06      0.500010131

#n=2
  -0.01461858777  7.333974067e-06     0.2769402319

#n=3
 -0.003076891122  7.333868718e-06     0.1462917346

#n=4
-0.0002680717583   7.33277776e-06     0.0599685796

