#r		P		D
            1.66   0.674864602643  -0.277642340305
            1.67    0.67208953659   -0.27736361752
            1.68   0.669317329727  -0.277070623212
            1.69   0.666548123565  -0.276763597427
             1.7   0.663782057221  -0.276442778921
            1.71   0.661019267433   -0.27610840511
            1.72   0.658259888571  -0.275760712024
            1.73    0.65550405265  -0.275399934264
            1.74   0.652751889347  -0.275026304959
            1.75   0.650003526016  -0.274640055727
            1.76   0.647259087703  -0.274241416633
            1.77   0.644518697159  -0.273830616153
            1.78    0.64178247486  -0.273407881141
            1.79   0.639050539022   -0.27297343679
             1.8   0.636323005615  -0.272527506603
            1.81   0.633599988385  -0.272070312359
            1.82   0.630881598868  -0.271602074086
            1.83   0.628167946409  -0.271123010034
            1.84   0.625459138178  -0.270633336644
            1.85   0.622755279191  -0.270133268525
            1.86   0.620056472328  -0.269623018433
            1.87   0.617362818348  -0.269102797243
            1.88   0.614674415914  -0.268572813932
            1.89   0.611991361605  -0.268033275559
             1.9   0.609313749944  -0.267484387246
            1.91   0.606641673407  -0.266926352158
            1.92   0.603975222452  -0.266359371492
            1.93   0.601314485533  -0.265783644459
            1.94   0.598659549124   -0.26519936827
            1.95   0.596010497735  -0.264606738126
            1.96   0.593367413934  -0.264005947206
            1.97   0.590730378368  -0.263397186655
            1.98   0.588099469783  -0.262780645576
            1.99   0.585474765044  -0.262156511022
               2   0.582856339155   -0.26152496799
            2.01   0.580244265282  -0.260886199412
            2.02    0.57763861477  -0.260240386155
            2.03   0.575039457167  -0.259587707009
            2.04   0.572446860243  -0.258928338693
            2.05   0.569860890011  -0.258262455843
            2.06   0.567281610749  -0.257590231019
            2.07   0.564709085019    -0.2569118347
            2.08   0.562143373688  -0.256227435285
            2.09   0.559584535951  -0.255537199091
             2.1    0.55703262935  -0.254841290362
            2.11   0.554487709792  -0.254139871263
            2.12   0.551949831578   -0.25343310189
            2.13   0.549419047413   -0.25272114027
            2.14   0.546895408435  -0.252004142364
            2.15   0.544378964233  -0.251282262078
            2.16   0.541869762866  -0.250555651264
            2.17   0.539367850885  -0.249824459729
            2.18   0.536873273354  -0.249088835238
            2.19   0.534386073867  -0.248348923527
             2.2   0.531906294575  -0.247604868307
            2.21   0.529433976197  -0.246856811276
            2.22    0.52696915805  -0.246104892123
            2.23    0.52451187806  -0.245349248545
            2.24   0.522062172789  -0.244590016249
            2.25    0.51962007745  -0.243827328968
            2.26   0.517185625929  -0.243061318471
            2.27   0.514758850804  -0.242292114573
            2.28   0.512339783365  -0.241519845146
            2.29   0.509928453633  -0.240744636136
             2.3   0.507524890379   -0.23996661157
            2.31   0.505129121143  -0.239185893569
            2.32   0.502741172253  -0.238402602366
            2.33   0.500361068845  -0.237616856315
            2.34   0.497988834881  -0.236828771906
            2.35   0.495624493165  -0.236038463779
            2.36   0.493268065367   -0.23524604474
            2.37   0.490919572036  -0.234451625773
            2.38   0.488579032621  -0.233655316054
            2.39   0.486246465489  -0.232857222969
             2.4    0.48392188794  -0.232057452129
            2.41   0.481605316228  -0.231256107382
            2.42   0.479296765578  -0.230453290833
            2.43   0.476996250201  -0.229649102855
            2.44   0.474703783314  -0.228843642109
            2.45   0.472419377156  -0.228037005557
            2.46   0.470143043004  -0.227229288482
            2.47   0.467874791191    -0.2264205845
            2.48   0.465614631122  -0.225610985577
            2.49   0.463362571291  -0.224800582048
             2.5   0.461118619296  -0.223989462632
            2.51   0.458882781857   -0.22317771445
            2.52    0.45665506483  -0.222365423039
            2.53   0.454435473222   -0.22155267237
            2.54   0.452224011211  -0.220739544866
            2.55   0.450020682157  -0.219926121419
            2.56   0.447825488618  -0.219112481404
            2.57   0.445638432368  -0.218298702698
            2.58   0.443459514406    -0.2174848617
            2.59   0.441288734979   -0.21667103334
             2.6   0.439126093588  -0.215857291104
            2.61   0.436971589008  -0.215043707047
            2.62   0.434825219301  -0.214230351811
            2.63   0.432686981829  -0.213417294641
            2.64   0.430556873269  -0.212604603402
            2.65   0.428434889625  -0.211792344599
            2.66   0.426321026243  -0.210980583387
            2.67   0.424215277826  -0.210169383596
            2.68   0.422117638443  -0.209358807743
            2.69   0.420028101546  -0.208548917047
             2.7    0.41794665998  -0.207739771451
            2.71   0.415873305997  -0.206931429636
            2.72    0.41380803127  -0.206123949034
            2.73   0.411750826902  -0.205317385852
            2.74    0.40970168344   -0.20451179508
            2.75    0.40766059089  -0.203707230514
            2.76   0.405627538723   -0.20290374477
            2.77    0.40360251589  -0.202101389298
            2.78   0.401585510835    -0.2013002144
            2.79   0.399576511503  -0.200500269246
             2.8   0.397575505353  -0.199701601891
            2.81    0.39558247937  -0.198904259286
            2.82   0.393597420074    -0.1981082873
            2.83   0.391620313533   -0.19731373073
            2.84   0.389651145371  -0.196520633321
            2.85   0.387689900781  -0.195729037778
            2.86   0.385736564532  -0.194938985781
            2.87   0.383791120983  -0.194150518004
            2.88   0.381853554092  -0.193363674126
            2.89   0.379923847423  -0.192578492845
             2.9   0.378001984159  -0.191795011899
            2.91   0.376087947111  -0.191013268074
            2.92   0.374181718726  -0.190233297221
            2.93   0.372283281097  -0.189455134269
            2.94   0.370392615973  -0.188678813244
            2.95   0.368509704766  -0.187904367276
            2.96   0.366634528563  -0.187131828618
            2.97   0.364767068132  -0.186361228657
            2.98   0.362907303929  -0.185592597931
            2.99   0.361055216114  -0.184825966139
               3   0.359210784549  -0.184061362155
            3.01   0.357373988815  -0.183298814044
            3.02   0.355544808215  -0.182538349072
            3.03   0.353723221782  -0.181779993721
            3.04    0.35190920829    -0.1810237737
            3.05   0.350102746259   -0.18026971396
            3.06   0.348303813963  -0.179517838704
            3.07   0.346512389439  -0.178768171402
            3.08    0.34472845049  -0.178020734802
            3.09     0.3429519747  -0.177275550941
             3.1    0.34118293943  -0.176532641162
            3.11   0.339421321836  -0.175792026116
            3.12   0.337667098869  -0.175053725787
            3.13   0.335920247283  -0.174317759491
            3.14   0.334180743643  -0.173584145896
            3.15    0.33244856433  -0.172852903029
            3.16   0.330723685549  -0.172124048291
            3.17   0.329006083332  -0.171397598462
            3.18   0.327295733549  -0.170673569719
            3.19   0.325592611908   -0.16995197764
             3.2   0.323896693967  -0.169232837223
            3.21   0.322207955136  -0.168516162886
            3.22   0.320526370683  -0.167801968487
            3.23   0.318851915741  -0.167090267328
            3.24   0.317184565313  -0.166381072168
            3.25   0.315524294275  -0.165674395234
            3.26   0.313871077386  -0.164970248226
            3.27    0.31222488929  -0.164268642333
            3.28    0.31058570452  -0.163569588237
            3.29   0.308953497506  -0.162873096127
             3.3   0.307328242579  -0.162179175706
            3.31   0.305709913975  -0.161487836198
            3.32   0.304098485839  -0.160799086363
            3.33   0.302493932233  -0.160112934501
            3.34   0.300896227135  -0.159429388463
            3.35   0.299305344451  -0.158748455658
            3.36    0.29772125801  -0.158070143065
            3.37   0.296143941578  -0.157394457236
            3.38   0.294573368855   -0.15672140431
            3.39   0.293009513482  -0.156050990017
             3.4   0.291452349045  -0.155383219691
            3.41    0.28990184908   -0.15471809827
            3.42   0.288357987073  -0.154055630314
            3.43   0.286820736467  -0.153395820002
            3.44   0.285290070667   -0.15273867115
            3.45   0.283765963039  -0.152084187211
            3.46   0.282248386918  -0.151432371285
            3.47   0.280737315609  -0.150783226127
            3.48   0.279232722392  -0.150136754155
            3.49   0.277734580524  -0.149492957452
             3.5   0.276242863241  -0.148851837779
            3.51   0.274757543767   -0.14821339658
            3.52   0.273278595309  -0.147577634986
            3.53   0.271805991067  -0.146944553827
            3.54   0.270339704233  -0.146314153631
            3.55   0.268879707996   -0.14568643464
            3.56   0.267425975542  -0.145061396806
            3.57   0.265978480062  -0.144439039807
            3.58   0.264537194749  -0.143819363046
            3.59   0.263102092805  -0.143202365659
             3.6    0.26167314744  -0.142588046525
            3.61   0.260250331878  -0.141976404265
            3.62   0.258833619359  -0.141367437252
            3.63   0.257422983139  -0.140761143618
            3.64   0.256018396493  -0.140157521254
            3.65    0.25461983272  -0.139556567822
            3.66   0.253227265143  -0.138958280756
            3.67   0.251840667112  -0.138362657267
